Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿Cuándo inició la Guerra de los Mil Días?","1899","1902","1886","1910","A"
"¿Cuánto duró la Guerra de los Mil Días?","3 años","1 año","1000 días exactos","5 años","A"
"¿Qué partidos políticos se enfrentaron en la guerra?","Liberales y Conservadores","Socialistas y Comunistas","Demócratas y Republicanos","Verdes y Unión Patriótica","A"
"¿Cuál fue una de las principales causas de la guerra?","Disputas políticas y económicas","Invasión extranjera","Conflictos religiosos","Crisis ambiental","A"
"¿En qué país ocurrió la Guerra de los Mil Días?","Colombia","Venezuela","Perú","México","A"
"¿Qué tratado puso fin a la Guerra de los Mil Días?","Tratado de Neerlandia","Tratado de Versalles","Tratado de París","Tratado de Tlatelolco","A"
"¿Qué territorio perdió Colombia tras la guerra?","Panamá","Ecuador","Venezuela","Brasil","A"
"¿Quién fue presidente de Colombia durante gran parte de la guerra?","Manuel Antonio Sanclemente","Rafael Núñez","José Manuel Marroquín","Rafael Reyes","A"
"¿Qué impacto tuvo la guerra en la economía colombiana?","Profunda crisis económica","Crecimiento sostenido","Estabilidad financiera","No tuvo impacto","A"
"¿Qué país intervino indirectamente en la separación de Panamá?","Estados Unidos","Francia","Inglaterra","España","A"
"¿Qué grupo armado se destacó en la Guerra de los Mil Días?","Guerrillas liberales","FARC","M-19","Paramilitares","A"
"¿Qué influencia externa afectó el desarrollo de la guerra?","Intereses estadounidenses en el Canal de Panamá","Revolución Rusa","Guerra Civil Española","Primera Guerra Mundial","A"
"¿Cuál fue una consecuencia social de la guerra?","Desplazamiento masivo de población","Aumento de la natalidad","Mejora en educación","Crecimiento urbano","A"
"¿Qué estrategia militar usaron los liberales?","Guerra de guerrillas","Batallas navales","Bombardeos aéreos","Ataques químicos","A"
"¿Qué región fue escenario principal de la guerra?","Los Andes y la Costa Caribe","La Amazonía","El Pacífico","La Orinoquía","A"
"¿Cómo afectó la guerra al campesinado?","Empobrecimiento y violencia","Prosperidad agrícola","Alianzas políticas","No les afectó","A"
"¿Qué papel jugó Rafael Uribe Uribe en la guerra?","Líder liberal y militar destacado","Presidente conservador","Mediador de paz","No participó","A"
"¿Qué suceso internacional coincidió con el final de la guerra?","Separación de Panamá","Inicio de la Primera Guerra Mundial","Revolución Mexicana","Guerra Hispano-Estadounidense","A"
"¿Cómo se financió la guerra?","Endeudamiento y emisión de papel moneda","Inversión extranjera","Exportación de café","Donaciones internacionales","A"
"¿Qué recurso natural era importante en la época?","Tabaco","Petróleo","Oro","Café","D"
"¿Cuál fue el resultado político de la guerra?","Continuidad del dominio conservador","Triunfo liberal","Establecimiento de una dictadura","Intervención extranjera directa","A"
"¿Qué papel tuvo la Iglesia Católica durante la guerra?","Apoyo al gobierno conservador","Neutralidad absoluta","Apoyo a los liberales","Fue perseguida","A"
"¿Qué tecnología militar se usó por primera vez en Colombia durante la guerra?","Ametralladoras","Aviones de combate","Tanques","Misiles","A"
"¿Qué impacto tuvo la guerra en la población civil?","Alta mortalidad y sufrimiento","Mejora en calidad de vida","Protección gubernamental","Desarrollo de infraestructura","A"
"¿Qué movimiento literario surgió influenciado por la guerra?","Modernismo","Romanticismo","Realismo Mágico","Barroco","C"
"¿Quién sucedió a Manuel Antonio Sanclemente en la presidencia durante la guerra?","José Manuel Marroquín","Rafael Núñez","Carlos E. Restrepo","Enrique Olaya Herrera","A"
"¿Cómo terminó la participación liberal en la guerra?","Rendición y firma de tratados","Victoria militar","Alianza con conservadores","Intervención extranjera","A"
"¿Qué figura militar liberal murió en combate en 1901?","Benjamín Herrera","Rafael Uribe Uribe","José María Campo Serrano","Francisco de Paula Santander","A"
"¿Qué rol tuvieron los ferrocarriles durante la guerra?","Transporte de tropas y suministros","No existían en esa época","Fueron destruidos","Uso exclusivo civil","A"
"¿Qué país reconoció rápidamente la independencia de Panamá?","Estados Unidos","Colombia","España","Francia","A"
"¿Qué significó el fin de la Guerra de los Mil Días para Colombia?","Inicio de un periodo de reconstrucción","Prosperidad inmediata","Nueva guerra civil","Colonización de Panamá","A"
"¿Cuál fue el efecto de la guerra en el comercio exterior?","Disminución significativa","Aumento de exportaciones","Estabilidad comercial","No tuvo efecto","A"
"¿Qué impacto tuvo la guerra en la literatura colombiana?","Inspiró obras como 'La Vorágine'","No tuvo influencia","Destruyó bibliotecas","Prohibición de publicaciones","A"
"¿Qué región declaró una breve independencia durante la guerra?","Panamá","Antioquia","Cauca","Santander","A"
"¿Qué papel desempeñó el Partido Nacional en la guerra?","No existía en esa época","Aliado de los liberales","Facilitó la paz","Era el partido gobernante","A"
"¿Cómo se llamó el movimiento liderado por jóvenes intelectuales liberales?","Los Nuevos","La Regeneración","El Frente Nacional","La Violencia","A"
"¿Qué recurso fue escaso y afectó a las tropas durante la guerra?","Alimentos","Armas","Agua","Uniformes","A"
"¿Qué provincia fue clave para las operaciones liberales?","Santander","Valle del Cauca","Bolívar","Nariño","A"
"¿Qué efecto tuvo la guerra en la unidad nacional?","Debilitamiento significativo","Fortalecimiento","No la afectó","Unificación total","A"
"¿Qué medida económica agravó la crisis durante la guerra?","Emisión excesiva de papel moneda","Reducción de impuestos","Aumento de exportaciones","Control de precios","A"
"¿Qué rol tuvo el general Lucas Caballero Calderón?","Líder militar conservador","Presidente de Colombia","Diplomático extranjero","No participó","A"
"¿Qué acción tomó Estados Unidos respecto a Panamá en 1903?","Apoyó su independencia","Invadió militarmente","Devolvió el territorio a Colombia","Firmó un tratado con Colombia","A"
"¿Qué fue el tratado Hay-Bunau Varilla?","Acuerdo entre EE.UU. y Panamá para el canal","Pacto de paz entre liberales y conservadores","Alianza militar latinoamericana","Tratado comercial con Europa","A"
"¿Qué enfermedad afectó a las tropas durante la guerra?","Fiebre amarilla","Gripe española","Malaria","Cólera","A"
"¿Qué ideología política influenció al Partido Liberal durante la guerra?","Liberalismo radical","Conservadurismo","Comunismo","Fascismo","A"
"¿Qué ocurrió con el Canal de Panamá tras la guerra?","Inició su construcción bajo control estadounidense","Fue cancelado","Quedó en manos colombianas","Lo construyó Francia","A"
"¿Qué figura política buscó mediar entre las partes en conflicto?","Carlos Martínez Silva","Rafael Reyes","Rafael Núñez","Jorge Eliécer Gaitán","A"
"¿Qué ocurrió con la deuda externa de Colombia tras la guerra?","Aumentó considerablemente","Se redujo","Fue pagada totalmente","Desapareció","A"
"¿Qué institución financiera colapsó durante la guerra?","El Banco Nacional","La Bolsa de Bogotá","El Banco de la República","No hubo colapsos","A"
"¿Qué consecuencia tuvo la guerra en el sistema educativo?","Deterioro y cierre de escuelas","Expansión educativa","Reformas progresistas","Creación de universidades","A"
"¿Qué estrategia naval utilizaron los liberales en el Caribe?","Ataques con barcos artillados","Bloqueo de puertos","No tenían presencia naval","Alianzas con piratas","A"
"¿Quién fue Nicolás Esguerra?","Intelectual y político liberal","General conservador","Embajador de España","Líder campesino","A"
"¿Qué papel jugó la prensa durante la guerra?","Medio de propaganda y comunicación","Se mantuvo neutral","Fue censurada totalmente","No existía prensa","A"
"¿Qué país ofreció mediar en el conflicto pero fue rechazado?","México","Estados Unidos","Brasil","Argentina","A"
"¿Qué movimiento artístico se desarrolló durante y después de la guerra?","El costumbrismo","El impresionismo","El cubismo","El surrealismo","A"
"¿Qué porcentaje de la población murió como resultado de la guerra?","Aproximadamente el 2%","El 10%","Menos del 1%","Más del 15%","A"
"¿Qué sector económico se vio menos afectado por la guerra?","Cultivo de café","Industria textil","Minería","Construcción","A"
"¿Qué papel tuvieron los campesinos en el conflicto?","Fueron reclutados por ambos bandos","Se mantuvieron al margen","Apoyaron solo a los liberales","Formaron su propio ejército","A"
"¿Cómo afectó la guerra a las comunidades indígenas?","Desplazamiento y violencia","Mejora de derechos","Alianzas políticas","No les afectó","A"
"¿Qué hizo el gobierno para intentar financiar el esfuerzo bélico?","Imprimir más dinero","Aumentar impuestos","Vender territorios","Solicitar préstamos a Europa","A"
"¿Qué cambio constitucional ocurrió tras la guerra?","Reformas que limitaron el poder presidencial","Se instauró una monarquía","Se prohibió el Partido Liberal","No hubo cambios","A"
"¿Qué líder liberal fue asesinado en 1914, años después de la guerra?","Rafael Uribe Uribe","Jorge Eliécer Gaitán","Luis Carlos Galán","Enrique Olaya Herrera","A"
"¿Qué región declaró neutralidad durante la guerra?","Antioquia","Boyacá","Caldas","Córdoba","A"
"¿Qué rol tuvieron las mujeres durante la guerra?","Enfermeras y apoyo logístico","Combatientes en el frente","No participaron","Líderes políticas","A"
"¿Qué industria emergió en Colombia después de la guerra?","Industria del petróleo","Tecnología de la información","Automotriz","Aeronáutica","A"
"¿Qué legado dejó la Guerra de los Mil Días en Colombia?","Profundas divisiones políticas","Unificación nacional","Desarrollo económico","Desaparición de partidos políticos","A"
"¿Qué suceso marcó el fin definitivo de la guerra?","Batalla de Palonegro","Firma del Tratado de Wisconsin","Asesinato de líderes liberales","Intervención de la ONU","A"
"¿Qué influencia tuvo la guerra en futuros conflictos colombianos?","Sentó precedentes para La Violencia","Ninguna influencia","Evitó futuros conflictos","Fortaleció la democracia","A"
"¿Qué medio de transporte se expandió tras la guerra?","Ferrocarriles","Autopistas","Aviación comercial","Metro subterráneo","A"
"¿Qué rol tuvo el café en la recuperación postguerra?","Motor económico principal","Fue sustituido por otros cultivos","Dejó de ser importante","Causó sobreproducción","A"
"¿Qué escritor colombiano narró aspectos de la guerra en sus obras?","José Eustasio Rivera","Gabriel García Márquez","Álvaro Mutis","Germán Arciniegas","A"
"¿Qué país firmó un acuerdo de indemnización con Colombia por la pérdida de Panamá?","Estados Unidos","Francia","Inglaterra","Alemania","A"
"¿Qué institución se creó en 1905 para estabilizar la economía?","Banco Central de Colombia","Ministerio de Economía","Bolsa de Valores de Bogotá","Banco de la República","A"
"¿Qué efecto tuvo la guerra en la infraestructura del país?","Destrucción generalizada","Modernización","No la afectó","Construcción de carreteras","A"
"¿Qué partido político gobernó Colombia después de la guerra durante varias décadas?","Partido Conservador","Partido Liberal","Partido Socialista","No hubo partidos","A"
"¿Qué tratado estableció la construcción del Canal de Panamá?","Tratado Hay-Bunau Varilla","Tratado de Tordesillas","Tratado de París","Tratado Torrijos-Carter","A"
"¿Qué elemento caracterizó la Guerra de los Mil Días?","Conflicto civil interno","Guerra internacional","Lucha contra invasores","Guerra religiosa","A"
"¿Qué papel tuvo el departamento de Santander en la guerra?","Epicentro de batallas importantes","Se mantuvo neutral","Refugio para desplazados","Centro de negociaciones de paz","A"
"¿Cómo se denomina al periodo de relativa paz y estabilidad tras la guerra?","La Hegemonía Conservadora","La Patria Boba","El Frente Nacional","La Apertura Democrática","A"
"¿Qué práctica económica aumentó debido a la guerra?","Contrabando","Exportación de tecnología","Turismo","Agricultura sostenible","A"
"¿Qué influencia tuvo la guerra en la política latinoamericana?","Sirvió de ejemplo de los peligros del bipartidismo extremo","No tuvo influencia","Promovió la unión regional","Generó intervenciones extranjeras","A"
"¿Qué presidente estadounidense estuvo involucrado en la separación de Panamá?","Theodore Roosevelt","Woodrow Wilson","William McKinley","Franklin D. Roosevelt","A"
"¿Qué movimiento social comenzó a surgir en Colombia tras la guerra?","Sindicalismo obrero","Feminismo","Ecologismo","Movimiento estudiantil","A"
"¿Cómo se recuerda hoy la Guerra de los Mil Días en Colombia?","Como una tragedia nacional","No se le da importancia","Con celebraciones anuales","Como un triunfo militar","A"
